id,full_name,date_time,communication_channel,created_date
1492,"Liam Wilson","2019-04-15 13:43:00",Meeting,"2019-04-15 12:45:39"
1492,"Liam Wilson","2019-04-15 13:45:00",Meeting,"2019-04-15 12:53:16"
1483,"John Smith","2019-04-15 13:00:00",Meeting,"2019-04-15 13:03:19"
900,"Noah Brown","2019-04-15 13:10:00",Meeting,"2019-04-15 14:03:45"
1483,"John Smith","2019-04-15 13:50:00",Meeting,"2019-04-15 14:19:58"
1614,"Emma Johnson","2019-04-15 16:05:00",Meeting,"2019-04-15 16:06:30"
1614,"Emma Johnson","2019-04-15 16:16:00",Meeting,"2019-04-15 16:18:00"
900,"Noah Brown","2019-04-15 15:35:00",Meeting,"2019-04-15 16:18:46"
1614,"Emma Johnson","2019-04-15 16:36:00",Meeting,"2019-04-15 16:39:05"
1614,"Emma Johnson","2019-04-15 18:27:00",Meeting,"2019-04-15 18:28:40"
900,"Noah Brown","2019-04-15 17:50:00",Meeting,"2019-04-15 18:34:09"
900,"Noah Brown","2019-04-16 11:30:00",Meeting,"2019-04-16 12:29:41"
1492,"Liam Wilson","2019-04-16 12:53:00",Meeting,"2019-04-16 12:54:46"
1492,"Liam Wilson","2019-04-16 13:13:00",Meeting,"2019-04-16 13:14:14"
79,"Oliver Jackson","2019-04-16 13:05:00",Meeting,"2019-04-16 13:14:45"
900,"Noah Brown","2019-04-16 16:45:00",Meeting,"2019-04-16 17:35:16"
900,"Noah Brown","2019-04-16 16:45:00",Meeting,"2019-04-16 17:36:18"
900,"Noah Brown","2019-04-17 10:20:00",Meeting,"2019-04-17 11:04:23"
255,"Abhijeet Kulkarni","2019-04-17 12:01:00",Meeting,"2019-04-17 12:04:46"
1492,"Liam Wilson","2019-04-17 12:54:00",Meeting,"2019-04-17 12:54:48"
1492,"Liam Wilson","2019-04-17 14:55:00",Meeting,"2019-04-17 12:56:13"
79,"Oliver Jackson","2019-04-17 14:45:00",Meeting,"2019-04-17 14:46:18"
1614,"Emma Johnson","2019-04-17 15:10:00",Meeting,"2019-04-17 15:11:28"
1614,"Emma Johnson","2019-04-17 15:44:00",Meeting,"2019-04-17 15:49:38"
1614,"Emma Johnson","2019-04-17 17:52:00",Meeting,"2019-04-17 17:53:54"
1492,"Liam Wilson","2019-04-17 18:50:00",Meeting,"2019-04-17 18:51:41"
1492,"Liam Wilson","2019-04-17 18:52:00",Meeting,"2019-04-17 18:52:24"
